nonredund_free_pdb nonredund_free_pangle
1JGU_1 -44.606509
4HH9_1 -43.873484
 
4TPR_1 -44.667821
 
1GAF_1 -44.843319
5WTG_1 -50.671501
 
5GZR_1 -69.377528
 
3J93_1 -51.199271
 
1FL3_1 -30.95127
 
 
 
1RIH_1 -47.535694
4PUB_1 -40.429931
32C2_1 -45.765495
 
1NBV_1 -42.654584
5JR1_1 -54.060881
 
1NGY_1 -48.499141
 
2YMX_1 -49.269677
 
6FAB_1 -45.619963
 
 
5JNY_1 -43.145013
2A1W_1 -49.312087
 
 
5ICZ_1 -48.086087
4UIK_1 -49.257827
 
3NAB_1 -46.106847
1N4X_1 -49.637085
 
5D6C_1 -41.636232
2A6K_1 -49.004131
4FQQ_1 -42.956452
 
 
5ID1_1 -48.606372
 
1RUQ_1 -46.551727
5EZJ_1 -46.115514
1K6Q_1 -40.007661
1UB5_1 -30.884546
 
 
5EZI_1 -45.757324
5U3P_1 -50.341836
4M6N_1 -39.363454
4OCY_1 -43.862257
1NC4_1 -44.164255
1DQL_1 -42.582056
 
4ZTP_1 -42.278345
2Z92_1 -54.539741
 
4JM4_1 -45.011037
1Q0Y_1 -47.276182
 
1J05_1 -43.855611
1ETZ_1 -44.760129
 
 
2D03_1 -43.260741
 
 
3HC4_1 -48.791603
4NRX_1 -45.518381
1Q9O_1 -44.292657
4R7N_1 -47.491395
 
1DFB_1 -42.706192
 
1UWG_1 -47.712566
 
1C1E_1 -49.45646
3GJE_1 -45.114018
4HK3_1 -40.591049
3EOT_1 -46.948963
1MJ8_1 -45.579282
 
2DTM_1 -50.184002
2VQ1_1 -45.637942
1BBJ_1 -43.342148
 
 
3FO0_1 -44.813603
1FVE_1 -42.835063
4UIF_1 -39.855571
 
 
 
4XPB_1 -48.085687
 
 
2OP4_1 -43.561434
3S96_1 -51.201636
1T04_1 -43.696462
 
1L7I_1 -49.503733
 
1INE_1 -44.309465
 
5BMF_1 -46.641123
5ICY_1 -49.157725
1YEC_1 -51.61034
2FAT_1 -46.389709
1AD9_1 -41.616382
4POZ_1 -52.16742
3CFB_1 -31.832248
2AJ3_1 -47.344143
1F4X_1 -44.273678
5IHZ_1 -35.376974
1OAU_1 -47.521268
1NGW_1 -50.102078
4JPI_1 -42.043294
4M7K_1 -42.627812
1YNK_1 -43.462714
 
1F4Y_1 -43.51982
 
5I19_1 -44.934785
 
15C8_1 -42.314879
 
3QEG_1 -43.363964
3CFC_1 -35.667083
1M7I_1 -51.534976
 
 
1UWE_1 -49.394786
1YEJ_1 -51.233403
 
 
 
 
 
3DUS_1 -43.95397
 
 
1QYG_1 -45.584869
2HKH_1 -38.655664
2F19_1 -49.476569
 
1CR9_1 -45.794925
3RVT_1 -43.38342
1MFD_1 -46.740821
 
12E8_1 -54.86047
4LKC_1 -44.784675
 
 
 
5UEL_1 -39.624774
1Y18_1 -53.072016
 
 
 
2D7T_1 -31.236478
 
5T1D_1 -45.988686
5IBT_1 -43.434501
4YHM_1 -45.987884
5HPM_1 -48.973943
3T77_1 -44.252181
 
1MF2_1 -48.252676
3NFS_1 -45.470957
3TWC_1 -47.795804
4NCC_1 -46.770357
5U15_1 -43.82813
5BZD_1 -46.050205
3CVI_1 -45.053912
 
5IVZ_1 -48.420708
 
 
 
5UIX_1 -47.850943
 
5I1K_1 -44.254561
3IY0_1 -50.482156
5A16_1 -46.579052
2VL5_1 -43.583429
1XF4_1 -45.239856
5MX3_1 -41.825366
 
3TV3_1 -47.842621
1FAI_1 -48.953195
2Q76_1 -41.89457
4KMT_1 -44.877688
1RUP_1 -45.874791
 
 
4KTD_1 -51.233667
 
5IFA_1 -41.18348
2JIX_1 -48.713107
4ZYK_1 -43.153584
 
1A3L_1 -46.026238
5I71_1 -49.860805
4RIR_1 -45.973722
 
 
4XBP_1 -45.72263
 
1KEL_1 -35.801605
2DQT_1 -48.469263
3BZ4_1 -46.289564
5KG9_1 -48.569109
4HIJ_1 -41.812751
3UJT_1 -46.281754
1OAY_1 -47.867097
 
4OZ4_1 -41.958382
5T1L_1 -48.506261
1A4J_1 -46.328059
 
1JNH_1 -51.228668
3IJH_1 -42.60826
4GAY_1 -41.332061
1M71_1 -51.635387
4JAM_1 -51.251272
2EH7_1 -45.755114
1RZI_1 -40.961918
 
2AGJ_1 -42.86012
3RA7_1 -49.596424
 
 
2Z4Q_1 -48.701316
4D9L_1 -47.304837
2FGW_1 -47.244262
 
 
 
 
 
 
 
1UM5_1 -42.333467
 
3OKM_1 -39.810517
5V7R_1 -47.519131
 
1A6V_1 -47.544511
 
3ULS_1 -44.093588
 
3QHZ_1 -40.745318
 
3QNY_1 -44.03503
 
4M93_1 -44.556636
1ZVO_1 -44.242293
2YK1_1 -41.696036
4HIH_1 -41.561741
1NGX_1 -52.154485
 
 
 
 
2DLF_1 -48.853891
4R7N_1 -47.491395
3W9D_1 -46.714531
4WUK_1 -43.196702
 
1C5D_1 -41.199786
5I1D_1 -44.989132
3G5X_1 -49.310965
5E2T_1 -47.900026
2BMK_1 -45.426929
 
 
 
3FO1_1 -44.459784
 
1IGM_1 -46.941528
 
4HKZ_1 -42.130468
4HQQ_1 -44.815327
3NZ8_1 -43.99601
1F4W_1 -46.980569
1ZEA_1 -45.866972
1A7Q_1 -43.016414
4LLY_1 -46.564899
 
3QHF_1 -44.406785
5V7U_1 -36.10311
4F57_1 -44.872068
2GK0_1 -45.67143
1YEH_1 -51.254932
5FUZ_1 -48.641007
 
 
 
3OAZ_1 -44.72362
3MNV_1 -41.561527
 
1MFB_1 -46.709713
3L1O_1 -52.818672
 
4OCX_1 -45.249925
1MRF_1 -45.858068
 
 
4KPH_1 -51.276391
 
2NTF_1 -47.155523
 
5L88_1 -45.911288
2UUD_1 -46.478271
4NWU_1 -48.613708
3C5S_1 -48.314282
 
 
2VXV_1 -45.174077
4LLU_1 -46.095123
3NZH_1 -46.229907
2R23_1 -42.864177
4QF1_1 -48.133712
 
4F58_1 -47.069199
4KQ4_1 -47.016365
 
4NZU_1 -40.885618
 
1FOR_1 -45.551612
 
 
35C8_1 -43.134448
4UOM_1 -51.181325
4YHZ_1 -46.401995
1FVC_1 -46.651296
 
 
 
3GNM_1 -45.383211
 
5I75_1 -49.603099
1T66_1 -45.468689
2AAB_1 -49.751179
 
4YAQ_1 -45.167469
3NN8_1 -42.001789
4FQC_1 -50.698691
1YEI_1 -51.350431
5MHS_1 -52.198217
4AT6_1 -50.993363
2R2E_1 -44.04393
 
3MCL_1 -44.768763
 
4YHK_1 -47.191596
4GQ9_1 -54.192524
1C5C_1 -43.16254
5EZL_1 -48.985505
5TQA_1 -42.158388
 
 
5I1C_1 -51.225054
 
 
 
 
3EYO_1 -48.902717
 
4JY5_1 -47.991173
4C83_1 -44.406846
 
4KVC_1 -47.446448
 
4PB9_1 -49.009107
1NGZ_1 -48.313433
5BZW_1 -46.507286
3GK8_1 -51.199905
1D5B_1 -43.780735
 
2GCY_1 -45.044538
4XMM_1 -40.658754
1R70_1 -46.448348
1MNU_1 -45.65262
4QHK_1 -45.906691
4YHL_1 -42.317457
 
 
 
 
1AP2_1 -45.60092
1AJ7_1 -45.362317
2ORB_1 -49.474089
 
 
5HYS_1 -50.068341
1A7O_1 -43.433473
 
3EYQ_1 -45.289779
1KFA_1 -45.883157
4MAU_1 -45.53454
3VFG_1 -43.789697
 
1CT8_1 -43.656593
5TH2_1 -48.542515
1CFV_1 -47.131043
4GW5_1 -48.017451
5GS1_1 -45.302336
3IY1_1 -40.542635
1AIF_1 -43.557066
 
 
1IQW_1 -46.406483
4HXB_1 -43.532982
 
 
2HFF_1 -38.047851
 
1RFD_1 -45.22422
 
 
 
2ADJ_1 -48.99447
3U9U_1 -44.954941
 
 
 
 
 
 
3Q6G_1 -45.762474
5F6I_1 -46.297216
4LRI_1 -45.936594
1CL7_1 -45.502345
5T1M_1 -47.855306
4JHA_1 -44.542274
1DBM_1 -46.286191
1MCO_1 -56.880034
 
4ORG_1 -48.14324
 
 
4G6K_1 -45.301239
1DQD_1 -48.596385
4ODT_1 -51.970955
 
 
1YNL_1 -42.393554
5I1H_1 -44.982347
4UIH_1 -39.854984
5L9D_1 -45.863899
2YKL_1 -42.894678
5ESQ_1 -48.444869
1ZA6_1 -46.387889
4OCS_1 -46.711894
4WCY_1 -41.303504
25C8_1 -43.404519
4X4Y_1 -42.657839
2FL5_1 -46.826521
 
 
 
 
3DGG_1 -43.194153
4K7P_1 -46.611096
3WE6_1 -41.292931
3DUU_1 -43.329207
 
1JHK_1 -43.151882
5JOF_1 -45.366064
43C9_1 -44.16222
3OKL_1 -42.704844
5GS0_1 -47.046019
 
3I2C_1 -45.526757
 
 
3U6R_1 -47.295031
4XCC_1 -44.927148
3G6A_1 -44.866763
5GRJ_1 -51.879685
1XF3_1 -44.835512
4NHG_1 -22.009975
 
 
 
5JOP_1 -46.653322
5AZ2_1 -41.328954
 
1AE6_1 -49.102958
 
 
 
1QLR_1 -45.972907
 
5ICX_1 -48.942928
 
2FBJ_1 -39.29367
 
 
3X3G_1 -46.816559
5H32_1 -48.657909
1JPT_1 -45.274488
2AJS_1 -46.474235
4NKD_1 -41.479867
 
 
 
4NJ9_1 -45.160946
1T2Q_1 -44.341563
1RUL_1 -44.857193
3G5Z_1 -46.223992
1UZ6_1 -49.114713
4YGV_1 -46.884989
 
2FJF_1 -41.371729
1C12_1 -47.585607
4JN2_1 -43.618815
1BAF_1 -47.134334
4XCN_1 -43.479135
3V0V_1 -40.087437
5D7S_1 -45.494325
5I30_1 -50.108597
 
 
 
 
1PLG_1 -45.204094
4GXV_1 -44.013381
 
3PIQ_1 -46.206896
4M43_1 -44.977745
1OAX_1 -48.023376
1F8T_1 -47.114646
 
3U36_1 -45.774212
 
 
3HNS_1 -50.06321
4IMK_1 -42.393156
1UM4_1 -42.567459
 
1D6V_1 -40.880605
1MCP_1 -41.34454
 
 
3J3O_1 -44.953719
 
 
 
 
2AJY_1 -46.39312
 
4R97_1 -51.40038
 
 
1SBS_1 -49.223185
 
3LRS_1 -47.77779
3J6U_1 -38.890585
 
 
 
1T3F_1 -45.677224
 
2IQ9_1 -44.525225
 
 
1AD0_1 -44.190602
4ZD3_1 -45.157687
2RCS_1 -45.587887
3OZ9_1 -44.41183
 
1WT5_1 -39.832837
 
2ESG_1 -45.48719
 
4M7J_1 -45.263788
1YEK_1 -51.167128
4JY4_1 -44.947142
 
4NRY_1 -48.426839
 
3J2Z_1 -54.18606
 
4QHM_1 -47.672423
1ZLU_1 -44.001558
 
3OKO_1 -42.987604
4ODS_1 -35.807637
5I1J_1 -45.46748
4FQ1_1 -47.554193
5K9J_1 -49.237867
 
 
1FL6_1 -40.153187
2VXU_1 -50.249685
1N7M_1 -47.367221
5EWI_1 -43.852073
3OJD_1 -43.187357
 
 
1MAM_1 -50.092811
1PSK_1 -48.777037
 
3BPC_1 -42.590731
 
 
 
5TPP_1 -40.675355
 
4DCQ_1 -49.377374
5TGB_1 -45.428267
 
1EMT_1 -46.636164
 
4NKI_1 -45.190816
4JO4_1 -42.284078
5I15_1 -42.569335
3MBX_1 -46.127266
 
4IML_1 -45.139625
3U7W_1 -43.644402
 
 
1GGC_1 -35.193287
4XBG_1 -43.099491
 
 
 
 
1FIG_1 -43.267414
4LCI_1 -41.871665
2AK1_1 -46.190802
3IJY_1 -43.258262
 
 
1KNO_1 -45.463633
1IGT_1 -44.577772
1MH5_1 -44.840181
5I1E_1 -43.383014
3EYV_1 -45.893904
 
1CLZ_1 -46.424397
4YHP_1 -46.839506
1AXS_1 -41.413268
3KDM_1 -43.938823
 
4JY6_1 -47.044905
1OPG_1 -46.728626
5CD3_1 -42.612304
2AJX_1 -45.59369
4LLW_1 -44.826562
3I75_1 -40.317091
1BFO_1 -48.038922
2ADG_1 -49.12675
4JZN_1 -42.965051
4H20_1 -49.021149
5GRV_1 -42.709124
3C6S_1 -47.038237
3HMW_1 -43.991269
 
1FN4_1 -45.652709
1MLB_1 -41.05011
1FL5_1 -41.039512
 
 
2GSG_1 -45.277395
 
4ODW_1 -50.366292
4FQH_1 -43.744596
 
 
2V7H_1 -45.59241
1ZLW_1 -44.622164
3O6K_1 -45.453835
4C2I_1 -48.054517
4X80_1 -51.364993
1Q9K_1 -41.528849
3QNX_1 -42.334723
4RNR_1 -49.679764
5ADO_1 -48.880828
1UYW_1 -43.603454
8FAB_1 -47.14801
4ISV_1 -42.724435
 
5I6Z_1 -50.754414
 
1KN2_1 -51.014101
 
 
 
 
 
4KTE_1 -47.5073
 
5DQD_1 -43.977675
 
3O2V_1 -46.038898
1NCW_1 -45.070797
1UCB_1 -47.218931
3OB0_1 -43.009647
1A4K_1 -51.981028
1MHH_1 -44.34469
3HI5_1 -45.397923
 
 
2V7N_1 -44.657566
5A1Z_1 -40.450113
 
4NZR_1 -44.802296
 
1DBJ_1 -47.080231
2UYL_1 -43.403102
 
1T4K_1 -46.119414
4AEH_1 -43.98996
4O5L_1 -38.479889
 
1C5B_1 -43.006627
2XZA_1 -50.39654
3PHQ_1 -42.088262
 
3HNT_1 -49.722278
 
 
3QCT_1 -43.425002
 
4NKM_1 -47.617903
5I1A_1 -43.730294
1U6A_1 -43.993882
3P0V_1 -45.007841
4LAS_1 -49.36991
 
3DV6_1 -44.797826
 
2DBL_1 -47.362043
1HIL_1 -46.357817
 
3R06_1 -47.881853
1GGB_1 -37.988149
1ZAN_1 -42.683926
 
4J1U_1 -43.484721
5DQ9_1 -40.711736
5HYQ_1 -48.406783
5I2I_1 -48.236834
1DBA_1 -46.496607
3I9G_1 -45.866068
 
 
4FZ8_1 -46.463796
 
3O2W_1 -45.897086
2R1X_1 -42.662074
4R26_1 -43.786446
 
 
 
3BKM_1 -44.85556
3QEH_1 -46.381328
2HWZ_1 -44.107405
 
 
5IV2_1 -48.822202
1WCB_1 -45.707915
 
2IQA_1 -44.342941
 
1DLF_1 -46.71238
 
1RZF_1 -42.545769
 
 
3WHX_1 -39.012231
3HZM_1 -43.407076
3T65_1 -43.079687
3I02_1 -44.048283
 
2CJU_1 -44.847911
 
1NLD_1 -41.099015
 
3LS5_1 -48.314031
 
4LLV_1 -46.766021
5ITF_1 -48.554401
1LO0_1 -45.240728
 
5TF1_1 -42.014467
3KYM_1 -53.699445
 
 
1CGS_1 -43.320917
4OUU_1 -47.641685
 
4HFW_1 -41.427765
 
 
 
 
 
4R90_1 -52.215278
5I1I_1 -45.324031
4RBP_1 -44.813552
 
3IJS_1 -42.372612
3IY6_1 -41.84363
 
 
3LMJ_1 -41.658802
1I3G_1 -45.066343
 
4YHO_1 -46.864378
 
4S1D_1 -38.628621
 
5I18_1 -42.817703
 
1H3P_1 -46.509903
 
 
3HZK_1 -43.128385
3V6F_1 -46.689831
 
5I16_1 -42.452184
5GGQ_1 -43.12403
1OP3_1 -45.780123
1CLY_1 -47.43755
3BKC_1 -44.022082
3TNM_1 -54.186881
 
5ITB_1 -45.85585
3GIZ_1 -46.358167
1MIM_1 -47.101979
 
5AWN_1 -45.289552
 
4UB0_1 -41.202271
 
 
5IFH_1 -45.509409
 
5CEY_1 -39.811471
3IY3_1 -42.063836
2JB5_1 -42.181063
2FJF_1 -41.371729
 
 
 
4PY7_1 -45.211678
 
 
1WZ1_1 -49.404638
 
3U46_1 -47.337402
 
 
 
3EO9_1 -49.159382
 
5H30_1 -53.122197
 
3OKE_1 -43.852799
 
2Z93_1 -53.280582
1A0Q_1 -45.564598
 
 
 
 
5I8O_1 -43.50759
1SEQ_1 -48.031124
 
3IU4_1 -47.270089
 
 
2A6D_1 -47.499546
 
4NWT_1 -51.765533
 
1VGE_1 -45.647319
 
3IXY_1 -49.946669
 
1YEF_1 -50.594634
1RIV_1 -44.580888
 
4YHI_1 -47.51441
 
 
 
1RMF_1 -42.528114
 
 
1GIG_1 -44.529933
3IY4_1 -40.343045
5ESA_1 -41.47579
4X7T_1 -48.290986
4NUG_1 -44.178004
5FUO_1 -47.174388
 
4FZE_1 -38.556526
1BBD_1 -42.888312
1A6U_1 -46.673304
5EUK_1 -47.974887
1IL1_1 -46.823712
1MRC_1 -45.857735
 
5I66_1 -45.625384
3DIF_1 -47.280005
 
 
2FB4_1 -41.474161
1MJJ_1 -42.158222
 
3OKN_1 -42.065983
5MP6_1 -43.147067
 
4JN1_1 -44.085366
1Y0L_1 -53.477268
 
 
 
 
 
 
2G2R_1 -46.954523
3KYK_1 -48.578098
4EOW_1 -41.643473
 
4XCE_1 -44.070033
 
 
 
 
 
1FH5_1 -47.620192
2PCP_1 -46.90999
1YEE_1 -46.907174
4KQ3_1 -46.966575
 
4F33_1 -47.790366
